Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-12-26,590.112749353823,610.263179649061,587.401703056903,604.357346762792,97507.3431976989,58433113.4040928,cadli,BCH-USD,61234
2025-12-25,569.082978746309,599.720749874864,567.014710199795,590.112749353823,365893.597799222,215093457.484683,cadli,BCH-USD,308611
2025-12-24,572.77169151286,580.092839809267,564.004481451568,569.082978746309,340156.803583767,194173356.034422,cadli,BCH-USD,304979
2025-12-23,590.206050775399,593.446627940072,571.117546296565,572.77169151286,319775.703644052,185869619.173043,cadli,BCH-USD,295156
2025-12-22,591.2465956015,598.329851875936,576.050998781828,590.206050775399,520178.465496261,305289119.166803,cadli,BCH-USD,385679
2025-12-21,592.484151828967,602.680700011952,577.881139260621,591.2465956015,304776.603578892,179479962.259469,cadli,BCH-USD,298173
2025-12-20,624.782305453605,625.573722765626,589.363936784536,592.484151828967,490347.336861441,295161859.461625,cadli,BCH-USD,332704
2025-12-19,566.054008310273,631.046212119954,557.737007170166,624.782305453605,766189.541326914,457764243.67726,cadli,BCH-USD,479548
2025-12-18,547.175049069847,578.48559100117,528.885989108208,566.054008310273,717566.900753246,401148296.623349,cadli,BCH-USD,444278
2025-12-17,546.511025803594,568.481189692396,542.897215413538,547.175049069847,389975.797373808,214685628.300906,cadli,BCH-USD,357476
2025-12-16,536.863126973287,557.014188829883,528.565033703061,546.511025803594,334913.950978642,181444818.435545,cadli,BCH-USD,327921
2025-12-15,559.0157605034,572.782468333891,519.726954854048,536.863126973287,409248.287004136,223807396.227773,cadli,BCH-USD,356260
2025-12-14,580.390847194123,585.31072534838,555.920055217006,559.0157605034,284141.12841119,162982987.306025,cadli,BCH-USD,292305
2025-12-13,582.390678484421,586.807010363939,569.957102361954,580.390847194123,199255.200980455,115086448.418774,cadli,BCH-USD,272211
2025-12-12,574.990350988908,586.496555694879,568.934519945463,582.390678484421,409944.321403781,237716250.432193,cadli,BCH-USD,383857
2025-12-11,573.164227188926,576.738594957512,552.559423503222,574.990350988908,391249.575502671,219843807.81423,cadli,BCH-USD,228147
2025-12-10,585.375937301316,589.026334057246,559.941361001278,573.164227188926,556432.498723142,316889789.101046,cadli,BCH-USD,107123
2025-12-09,580.047399204267,591.380393684938,571.202114206477,585.375937301316,487854.671024762,284095877.766324,cadli,BCH-USD,116579
2025-12-08,599.735376374419,605.685240306139,577.126034495938,580.047399204267,343696.004968282,203911558.104236,cadli,BCH-USD,119793
2025-12-07,584.429213488574,604.991463649919,571.33134132471,599.735376374419,399874.910749777,235223417.375516,cadli,BCH-USD,195271
2025-12-06,560.562429509793,596.923506409275,559.089699256518,584.429213488574,400688.343208401,233442582.145917,cadli,BCH-USD,236072
2025-12-05,575.164244850488,583.851398648798,558.339407723017,560.562429509793,397958.982670453,228055519.157488,cadli,BCH-USD,119250
2025-12-04,591.229589156504,598.350349563492,567.462131799857,575.164244850488,434292.747000277,253756289.037216,cadli,BCH-USD,128389
2025-12-03,545.899257306645,607.037918534491,544.266011633138,591.229589156504,928163.253198631,541621199.19399,cadli,BCH-USD,89158
2025-12-02,523.562299783414,558.207988350545,520.412657215514,545.899257306645,582654.876595131,313138573.170166,cadli,BCH-USD,73277
2025-12-01,541.271990780283,544.27726601349,509.483950823738,523.562299783414,696487.677986838,364546607.014909,cadli,BCH-USD,60254
2025-11-30,521.677287935195,562.144635764419,518.710227446357,541.271990780283,580366.552241269,315900152.95226,cadli,BCH-USD,152614
2025-11-29,549.064566304085,549.152519494475,518.187104756013,521.677287935195,487259.90196485,259394215.543908,cadli,BCH-USD,144815
2025-11-28,533.140148067292,554.733970780155,531.058599714255,549.064566304085,730738.543806093,394821982.827229,cadli,BCH-USD,98917
2025-11-27,544.033393491427,550.257656481559,531.985633363931,533.140148067292,366924.192320406,198762917.313612,cadli,BCH-USD,79553
2025-11-26,527.819981446535,548.88509329647,526.692054494022,544.033393491427,655765.697754584,352134643.487048,cadli,BCH-USD,72506
2025-11-25,549.897457508549,550.132254453838,517.102356939731,527.819981446535,427756.736469008,226029695.021474,cadli,BCH-USD,85479
2025-11-24,540.245600315397,563.798856277051,538.707066047801,549.897457508549,532897.251787432,293928024.434441,cadli,BCH-USD,103137
2025-11-23,557.114516962282,558.10515299718,537.889909290129,540.245600315397,570604.039026809,312630123.599377,cadli,BCH-USD,145368
2025-11-22,533.94168881895,568.248288756343,521.881672982088,557.114516962282,1094787.8955925,595150128.554395,cadli,BCH-USD,186080
2025-11-21,480.492168246133,546.771640977353,447.314066439866,533.94168881895,1203999.26315762,596599384.407906,cadli,BCH-USD,62882
2025-11-20,495.42152358597,515.054751664223,474.114390181228,480.492168246133,768557.897794942,379880492.232288,cadli,BCH-USD,91305
2025-11-19,523.655218281765,527.227494797607,466.147060878957,495.42152358597,852464.381509772,420294024.673606,cadli,BCH-USD,99898
2025-11-18,491.18152904006,540.626879448181,475.524499337711,523.655218281765,968224.278047161,492899430.33648,cadli,BCH-USD,102384
2025-11-17,484.234854944222,515.441387632136,481.994636848081,491.18152904006,399663.369432581,199447273.963196,cadli,BCH-USD,80206
2025-11-16,503.048791522592,504.889089268545,473.127268458591,484.234854944222,276013.715718257,135226510.771297,cadli,BCH-USD,109164
2025-11-15,480.634879285138,519.577687932173,480.597593038737,503.048791522592,390538.203464486,195847289.555988,cadli,BCH-USD,132552
2025-11-14,509.476157475554,517.517947258329,476.724895427647,480.634879285138,467110.825594128,231320243.331768,cadli,BCH-USD,67145
2025-11-13,507.557437954474,531.225353963871,494.865740342459,509.476157475554,608262.249036259,315057860.292439,cadli,BCH-USD,89193
2025-11-12,506.169558095172,532.161849060266,499.385719653322,507.557437954474,381736.468317906,197282818.427015,cadli,BCH-USD,105399
2025-11-11,517.79375382924,531.08555688275,504.715203588346,506.169558095172,515631.889034874,267120895.350747,cadli,BCH-USD,82263
2025-11-10,503.926510018186,524.322259076538,501.60685985833,517.79375382924,316102.828752666,162009413.830429,cadli,BCH-USD,79734
2025-11-09,496.084354510877,506.402641479209,488.995894357536,503.926510018186,220507.04610523,109752045.220464,cadli,BCH-USD,116558
