Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-12-26,2903.87350173591,2991.75788708949,2895.22243125487,2962.29980399487,703540.888361136,2076439510.23049,cadli,ETH-USD,233583
2025-12-25,2946.63567233599,2969.15396507779,2891.80415559796,2903.87350173591,2064364.13152008,6065710855.21582,cadli,ETH-USD,1075117
2025-12-24,2963.67049008334,2976.37414400215,2890.39952212601,2946.63567233599,2494381.96948636,7320195774.75142,cadli,ETH-USD,1295370
2025-12-23,3007.82319748389,3033.56442123359,2903.57621571782,2963.67049008334,3629257.7699645,10740664345.7579,cadli,ETH-USD,1442550
2025-12-22,3002.41869252676,3072.08224768092,2964.78556828273,3007.82319748389,3430909.04289766,10382636773.231,cadli,ETH-USD,1548787
2025-12-21,2978.63944748703,3010.92152139698,2946.11402976984,3002.41869252676,1801659.34419625,5372428767.39311,cadli,ETH-USD,1045056
2025-12-20,2979.52579290267,2994.02002602694,2968.89326664966,2978.63944748703,1243049.29149726,3705846170.17346,cadli,ETH-USD,956522
2025-12-19,2828.74908068044,3016.5515469224,2811.16916709524,2979.52579290267,4734386.43085594,13934419947.3493,cadli,ETH-USD,1692640
2025-12-18,2835.04905731888,2995.06402518574,2778.2875114066,2828.74908068044,5245789.14340515,15072817374.5538,cadli,ETH-USD,1729833
2025-12-17,2963.04924487319,3027.44589169526,2793.42574511671,2835.04905731888,4732211.51734106,13734819883.5894,cadli,ETH-USD,1639889
2025-12-16,2966.26339048502,2978.99716359826,2887.46132146744,2963.04924487319,3974835.23580477,11687645464.207,cadli,ETH-USD,1696734
2025-12-15,3063.47803151903,3176.35161895699,2901.18441019656,2966.26339048502,4920400.71683211,14954572418.9129,cadli,ETH-USD,1778634
2025-12-14,3116.57238467033,3130.77193960901,3038.02324145519,3063.47803151903,2550556.67520242,7885617594.96865,cadli,ETH-USD,1244404
2025-12-13,3086.4064002298,3135.75633961996,3080.38987479514,3116.57238467033,1517850.04278883,4715659551.02993,cadli,ETH-USD,1053484
