Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-09-13,10423.514268099432,10650.419289761205,10378.547550408295,10597.780693214723,2043922.44163535,21497238701.05837,cadli,LTC-USD,106338
2025-09-12,10231.338137980356,10442.579981761593,10141.922562092219,10423.514268099432,4381325.5195376,45013526748.63858,cadli,LTC-USD,182131
2025-09-11,10380.923942664338,10391.053712693301,10006.387835456628,10231.338137980356,4354746.87924898,44491258621.24244,cadli,LTC-USD,245853
2025-09-10,9883.525131547098,10457.253824564958,9850.111736636813,10380.923942664338,4571014.77252305,46438166265.76896,cadli,LTC-USD,249793
2025-09-09,9954.690734305303,10120.220495073736,9789.222128443498,9883.525131547098,3852261.97275719,38372022821.514275,cadli,LTC-USD,215209
2025-09-08,10148.244687816963,10183.15162236084,9890.197755364718,9954.690734305303,4333407.41539346,43363713016.814285,cadli,LTC-USD,286557
2025-09-07,9900.202412745937,10179.21486995639,9900.202412745937,10148.244687816963,2305342.62885993,23228727893.51375,cadli,LTC-USD,352408
2025-09-06,9891.684394162168,9933.23618310747,9823.754639440842,9900.202412745937,1703804.74364217,16831406027.236132,cadli,LTC-USD,336974
2025-09-05,9805.305564990842,10151.497987844064,9803.077455350214,9891.684394162168,3603699.84123298,35869613760.19244,cadli,LTC-USD,306242
2025-09-04,9975.49014091466,10016.980088246983,9678.26648991543,9805.305564990842,2544218.15172159,24974679083.373184,cadli,LTC-USD,320060
2025-09-03,9865.284487269279,10003.631467485351,9783.750371161,9975.49014091466,2823014.81336827,27960791927.623466,cadli,LTC-USD,340776
2025-09-02,9593.341937093446,9894.122169410899,9592.232216067883,9865.284487269279,3806411.4166621,37116589996.16522,cadli,LTC-USD,291108
2025-09-01,9621.7884161879,9824.395142103513,9422.858331161371,9593.341937093446,4532874.21041537,43754558349.140205,cadli,LTC-USD,265789
2025-08-31,9786.315104848232,9874.018718002262,9610.116372280812,9621.7884161879,2096083.17651478,20520868693.32129,cadli,LTC-USD,342069
2025-08-30,9705.484472628528,9817.563564490823,9572.178676008676,9786.315104848232,2298288.3316922,22367557590.380196,cadli,LTC-USD,349253
2025-08-29,10038.230343818335,10044.361462169876,9603.433314504044,9705.484472628528,4125797.06935838,40299564951.01892,cadli,LTC-USD,235790
2025-08-28,9907.996922664024,10119.092603986002,9841.053091832073,10038.230343818335,3038936.89187116,30405458825.702866,cadli,LTC-USD,269163
2025-08-27,10020.105833588595,10255.516591237352,9891.562163146302,9907.996922664024,3965669.99921985,39756888906.16272,cadli,LTC-USD,267316
2025-08-26,9642.57111316471,10131.468997508315,9620.090806934333,10020.105833588595,4273775.16312708,42123201682.487366,cadli,LTC-USD,239021
2025-08-25,10433.830049560833,10469.38316849596,9440.17398749609,9642.57111316471,6953592.55696381,68806914047.14586,cadli,LTC-USD,196034
2025-08-24,10716.776012822189,11003.425943663317,10352.225898487004,10433.830049560833,4403330.44332451,46750921418.15436,cadli,LTC-USD,245360
2025-08-23,10849.323759626572,10881.03880897785,10575.40607595453,10716.776012822189,3022203.07276716,32405661226.19085,cadli,LTC-USD,275421
2025-08-22,10129.23254006919,10905.29497018737,9944.248276012127,10849.323759626572,5127742.23598003,53753777179.47973,cadli,LTC-USD,240991
2025-08-21,10246.579913329633,10345.770353967542,10025.04567190013,10129.23254006919,2836190.63624167,28886311987.370373,cadli,LTC-USD,238059
2025-08-20,9945.616972930107,10337.016377389235,9911.962492296087,10246.579913329633,4226345.24269264,42845539570.96713,cadli,LTC-USD,103127
2025-08-19,10401.000811126953,10510.757202533763,9918.632063210665,9945.616972930107,4879373.27869282,49595407765.88707,cadli,LTC-USD,95259
2025-08-18,10665.095421686632,10679.200337975602,10192.819975993916,10401.000811126953,4598506.22355455,47692026521.64971,cadli,LTC-USD,94870
