Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-12-26,87211.8447167885,89354.621892784,86898.9111791617,88739.7266169401,50997.6041240397,4508797589.82833,cadli,BTC-USD,294447
2025-12-25,87642.0849744413,88533.1221357949,86947.0701168634,87211.8447167885,116843.954923476,10253316404.2733,cadli,BTC-USD,1515386
2025-12-24,87448.1793469711,87994.3522171866,86443.104477755,87642.0849744413,157218.591336937,13712805218.6166,cadli,BTC-USD,1707950
2025-12-23,88564.4856021548,88892.6130015881,86616.257687332,87448.1793469711,211236.16461661,18524910570.5559,cadli,BTC-USD,1903589
2025-12-22,88654.92324492,90518.6554667442,87923.3572845885,88564.4856021548,230066.419776007,20532468767.0051,cadli,BTC-USD,1986102
2025-12-21,88367.8706120294,89050.810471873,87639.3546224045,88654.92324492,110166.035375329,9728721891.35048,cadli,BTC-USD,1434785
2025-12-20,88132.3337994023,88537.5049577343,87879.021830942,88367.8706120294,83837.6753786542,7395204095.85998,cadli,BTC-USD,1345528
2025-12-19,85515.9698822669,89363.3100982768,85145.8475627823,88132.3337994023,278653.003655392,24403389726.7193,cadli,BTC-USD,2103501
2025-12-18,86273.474202191,89433.5392356581,84473.1746227214,85515.9698822669,318854.35932789,27682651839.7527,cadli,BTC-USD,2177441
2025-12-17,87875.0551103361,90300.4170509696,85365.8297840548,86273.474202191,274867.317769587,23974649020.9006,cadli,BTC-USD,2087949
2025-12-16,86459.5402483796,88168.5282478439,85313.0209886858,87875.0551103361,257997.637175439,22432175828.7111,cadli,BTC-USD,2045245
2025-12-15,88194.6433718845,90027.9205058447,85241.358799358,86459.5402483796,273083.884754075,23948050221.8779,cadli,BTC-USD,2118646
2025-12-14,90290.4960541073,90512.8811954396,87666.9569985684,88194.6433718845,143813.071862734,12833954328.2442,cadli,BTC-USD,1638860
2025-12-13,90302.8064311746,90665.4345803026,89836.0144412686,90290.4960541073,88755.1812859688,8014949080.82794,cadli,BTC-USD,1457303
2025-12-12,92539.4756724435,92764.9778260219,89535.0711942885,90302.8064311746,221829.242398436,20260014977.5565,cadli,BTC-USD,1922026
2025-12-11,92044.5260657175,93566.8737085271,89324.3557671092,92539.4756724435,279471.391322021,25376896399.8263,cadli,BTC-USD,2130366
2025-12-10,92701.4808800457,94485.165894538,91619.1372028304,92044.5260657175,260800.967129668,24133155793.1282,cadli,BTC-USD,2039647
2025-12-09,90661.9068770528,94595.3345057259,89595.942050707,92701.4808800457,275067.643629372,25289468579.9033,cadli,BTC-USD,2089742
2025-12-08,90442.9650463449,92298.3839835808,89656.5093453689,90661.9068770528,231516.729635178,21061586168.9149,cadli,BTC-USD,2092329
2025-12-07,89259.4938848228,91784.8778363349,87785.0110013069,90442.9650463449,172459.108808774,15479115702.6418,cadli,BTC-USD,1698635
2025-12-06,89367.6048010023,90283.5632564504,88959.5799582957,89259.4938848228,123199.680006937,11039743500.6435,cadli,BTC-USD,1568742
2025-12-05,92111.4096179589,92716.3670120369,88160.0306366674,89367.6048010023,265667.894350313,24036622823.392,cadli,BTC-USD,2090960
2025-12-04,93473.0138827925,94085.2494664882,90958.5711004904,92111.4096179589,258099.791347276,23946626784.1216,cadli,BTC-USD,2143323
2025-12-03,91322.778704371,94123.0577213753,91055.8799902734,93473.0138827925,332546.183435635,30880744777.7565,cadli,BTC-USD,2330811
