Date,Open,High,Low,Close,Volume,Volume Quote,Market,Instrument,Total Index
2025-12-26,120.072066756446,124.303395496827,119.376056217814,122.637816076835,5416202.07989042,661119532.557809,cadli,SOL-USD,175684
2025-12-25,122.538782960259,124.367522548876,119.884358833443,120.072066756446,11445076.3439575,1401551126.21059,cadli,SOL-USD,747884
2025-12-24,123.955155258657,124.250703002761,120.671055819256,122.538782960259,12151674.1981833,1485500001.6883,cadli,SOL-USD,865645
2025-12-23,125.878636925121,126.845144525735,122.232227686847,123.955155258657,16177082.6611429,2010013194.12639,cadli,SOL-USD,945303
2025-12-22,126.060734225378,128.674776985853,124.297921052323,125.878636925121,19280210.8460485,2437610889.31583,cadli,SOL-USD,1045341
2025-12-21,125.853024894981,126.592292457134,123.549509885482,126.060734225378,12205815.2587917,1529060509.16007,cadli,SOL-USD,800709
2025-12-20,126.275255148541,126.869473870127,125.37890724427,125.853024894981,8751220.37196425,1103983433.80425,cadli,SOL-USD,731057
2025-12-19,119.627566942213,127.818722297843,117.697946775042,126.275255148541,27627828.2947294,3431146151.82052,cadli,SOL-USD,1218123
2025-12-18,123.353155975701,128.978539301498,117.061940576836,119.627566942213,32795098.0468211,4031799593.35951,cadli,SOL-USD,1248979
2025-12-17,129.189885865865,133.920252404399,121.496879714613,123.353155975701,29854880.8514818,3784449876.96186,cadli,SOL-USD,1196114
2025-12-16,127.900928803971,130.123220906102,125.043998390081,129.189885865865,20940048.4705749,2674034261.31278,cadli,SOL-USD,1132820
2025-12-15,129.453429294521,135.359726663745,123.866670992701,127.900928803971,27319984.7949121,3523593923.70434,cadli,SOL-USD,1175984
2025-12-14,133.236500868441,133.730848385314,128.549088114598,129.453429294521,12659674.1717314,1661849677.88788,cadli,SOL-USD,833573
2025-12-13,132.346527757017,134.317977901556,131.8206923386,133.236500868441,10002788.1106912,1330881316.6677,cadli,SOL-USD,755664
2025-12-12,136.462638292321,140.134542268014,130.473598487901,132.346527757017,27556117.8697705,3740891972.18425,cadli,SOL-USD,1194934
2025-12-11,136.335801497007,137.767985911199,129.2052580558,136.462638292321,30790384.8720293,4089581149.206,cadli,SOL-USD,775833
2025-12-10,137.93251152819,142.559512438026,135.604906414782,136.335801497007,30233620.2324922,4176221044.08186,cadli,SOL-USD,187438
2025-12-09,133.320265294194,144.931770940741,131.773057110467,137.93251152819,29619734.1941613,4086578353.41683,cadli,SOL-USD,264547
2025-12-08,132.342875072119,139.372656519724,131.637144184739,133.320265294194,24144029.8544775,3278685260.89259,cadli,SOL-USD,282948
2025-12-07,132.306656582549,136.385234274703,127.940779200553,132.342875072119,19495800.4069336,2578992937.4392,cadli,SOL-USD,416814
2025-12-06,133.382381473309,134.178776264884,131.426475068686,132.306656582549,10188206.0483475,1354640056.19165,cadli,SOL-USD,461889
2025-12-05,139.09382167636,140.724552327665,131.012220364907,133.382381473309,23002157.7492959,3122152619.16226,cadli,SOL-USD,242583
2025-12-04,144.748780329878,146.892123598359,137.963084606688,139.09382167636,21104297.6887293,3007996061.42506,cadli,SOL-USD,275395
2025-12-03,138.712305567521,146.02064256791,137.881199965379,144.748780329878,28843798.1966938,4090098595.7534,cadli,SOL-USD,129341
2025-12-02,126.778658609722,140.895705980072,126.099442815837,138.712305567521,32234802.8293831,4325054075.82775,cadli,SOL-USD,106377
2025-12-01,133.593756935015,133.761278143582,123.379268204529,126.778658609722,33498270.8434361,4249423857.66535,cadli,SOL-USD,69787
2025-11-30,135.959908868362,140.183442243759,133.4117759169,133.593756935015,15371390.5733805,2110941752.62558,cadli,SOL-USD,279111
2025-11-29,137.444796765146,138.104103904245,135.004790607492,135.959908868362,11282157.7468025,1543455497.26773,cadli,SOL-USD,251384
2025-11-28,140.941721521896,143.608269659104,136.294753201931,137.444796765146,24711949.2913219,3464556363.75835,cadli,SOL-USD,164714
2025-11-27,143.081380661793,144.294544475154,140.639353966873,140.941721521896,15874316.1299752,2261383423.59957,cadli,SOL-USD,121382
2025-11-26,139.01528661524,144.703668768871,135.578135918316,143.081380661793,25962697.1715105,3629529961.76091,cadli,SOL-USD,107099
2025-11-25,138.52441794335,140.509267128315,133.315466887347,139.01528661524,22592499.3711974,3088985895.75203,cadli,SOL-USD,159033
2025-11-24,130.85747757576,139.850500557012,128.655001800887,138.52441794335,30482754.8036956,4069838082.44933,cadli,SOL-USD,212194
2025-11-23,127.692462133661,133.509590399905,127.658978565875,130.85747757576,18767415.2844079,2456422394.00388,cadli,SOL-USD,299693
2025-11-22,128.774553187046,130.015328305655,125.300747647674,127.692462133661,17849914.832137,2271756986.43981,cadli,SOL-USD,294178
2025-11-21,133.662780109054,134.97808179207,121.855476271112,128.774553187046,52592173.7109028,6727113789.47791,cadli,SOL-USD,82978
2025-11-20,137.054606729504,144.691028400582,131.210286149559,133.662780109054,41464854.093497,5713923966.77384,cadli,SOL-USD,193913
2025-11-19,140.812923487367,142.842951436121,130.673247398674,137.054606729504,28478870.4934161,3894580969.34823,cadli,SOL-USD,228961
